Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zillow_price/sqft,Zestimate,House_website
,"$469,900","762 S Currier St #2, Pomona, CA 91766",762 S Currier St #2,Pomona,CA,91766,2,2,"1,022",null,null,Apartment,1948,Covered,null,$460,"$488,969",https://www.zillow.com/homedetails/762-S-Currier-St-2-Pomona-CA-91766/2076787964_zpid/
,"$445,000","1257 B St, Walnut Grove, CA 95690",1257 B St,WalnutGrove,CA,95690,4,4,"2,618",null,null,Apartment,1915,0 spaces,$28/mo,$170,"$450,675",https://www.zillow.com/homedetails/1257-B-St-Walnut-Grove-CA-95690/25951813_zpid/
,"$359,900","1278 A St, Walnut Grove, CA 95690",1278 A St,WalnutGrove,CA,95690,5,--,"2,100",null,null,Apartment,1950,0 spaces,$24/mo,$171,"$364,489",https://www.zillow.com/homedetails/1278-A-St-Walnut-Grove-CA-95690/25951810_zpid/
,"$175,000","5778 Bagley Ave, Twentynine Palms, CA 92277",5778 Bagley Ave,TwentyninePalms,CA,92277,3,--,"1,341",null,null,Apartment,1942,"Garage, Garage - Attached, Covered",null,$130,"$173,742",https://www.zillow.com/homedetails/5778-Bagley-Ave-Twentynine-Palms-CA-92277/17504856_zpid/
,"$450,000","655 N Towne Ave, Pomona, CA 91767",655 N Towne Ave,Pomona,CA,91767,3,2,"1,398",null,null,Apartment,1914,"Garage, Covered",null,$322,"$469,566",https://www.zillow.com/homedetails/655-N-Towne-Ave-Pomona-CA-91767/21512397_zpid/
,"$142,000","316 Portola Ave, Portola, CA 96122",316 Portola Ave,Portola,CA,96122,4,2,"1,650",null,null,Apartment,1978,0 spaces,null,$86,"$138,536",https://www.zillow.com/homedetails/316-Portola-Ave-Portola-CA-96122/2112547061_zpid/
,"$350,000","13686 Us Highway 50, Kyburz, CA 95720",13686 Us Highway 50,Kyburz,CA,95720,--,--,--,null,null,Apartment,No Data,0 spaces,null,null,"$346,502",https://www.zillow.com/homedetails/13686-Us-Highway-50-Kyburz-CA-95720/2077347885_zpid/
,"$249,000","12828 Broyles Trl, Oregon House, CA 95962",12828 Broyles Trl,OregonHouse,CA,95962,3,--,520,null,null,Apartment,1948,"Carport, Garage - Attached, Covered",null,$479,"$246,920",https://www.zillow.com/homedetails/12828-Broyles-Trl-Oregon-House-CA-95962/94705265_zpid/
,"$875,000","13991 River Rd #122, Walnut Grove, CA 95690",13991 River Rd #122,WalnutGrove,CA,95690,8,--,"17,975",null,null,Apartment,1991,0 spaces,null,$49,"$875,007",https://www.zillow.com/homedetails/13991-River-Rd-122-Walnut-Grove-CA-95690/2077196092_zpid/
,"$225,000","26623 Anderson St, Boron, CA 93516",26623 Anderson St,Boron,CA,93516,6,4,"2,174",null,null,Apartment,1963,"Garage - Attached, Covered",null,$103,"$225,001",https://www.zillow.com/homedetails/26623-Anderson-St-Boron-CA-93516/18965067_zpid/
,"$485,000","6040 E Highway 20, Lucerne, CA 95458",6040 E Highway 20,Lucerne,CA,95458,7,4,"3,800",null,null,Apartment,1956,"Garage, Carport, Garage - Detached, Off-street, Covered",null,$128,"$477,761",https://www.zillow.com/homedetails/6040-E-Highway-20-Lucerne-CA-95458/19088425_zpid/
,"$799,888","475 Sycamore Ave, Hayward, CA 94544",475 Sycamore Ave,Hayward,CA,94544,--,--,"1,882",null,null,Apartment,1932,Carport,null,$425,"$827,766",https://www.zillow.com/homedetails/475-Sycamore-Ave-Hayward-CA-94544/299070266_zpid/
,"$549,000","1811 E 11th St, Long Beach, CA 90813",1811 E 11th St,LongBeach,CA,90813,2,2,924,null,null,Apartment,1923,"Garage - Detached, Covered",null,$594,"$561,620",https://www.zillow.com/homedetails/1811-E-11th-St-Long-Beach-CA-90813/21228281_zpid/
,"$299,999","781 N Village Ln, Crestline, CA 92325",781 N Village Ln,Crestline,CA,92325,4,3,"1,800",null,null,Apartment,1925,"Garage, Off-street, Covered",null,$167,"$300,001",https://www.zillow.com/homedetails/781-N-Village-Ln-Crestline-CA-92325/17417438_zpid/
,"$480,000","7533 Gallant Cir, Citrus Heights, CA 95621",7533 Gallant Cir,CitrusHeights,CA,95621,4,--,"2,079",null,null,Apartment,1977,"Garage, Garage - Attached, Covered",null,$231,"$482,953",https://www.zillow.com/homedetails/7533-Gallant-Cir-Citrus-Heights-CA-95621/25985350_zpid/
,"$45,000","409 H St, Needles, CA 92363",409 H St,Needles,CA,92363,2,1,"1,483",null,null,Apartment,1935,"Garage, Garage - Attached",null,$30,"$49,230",https://www.zillow.com/homedetails/409-H-St-Needles-CA-92363/17276990_zpid/
,"$2,250,000","1825 S Horne St, Oceanside, CA 92054",1825 S Horne St,Oceanside,CA,92054,8,5,"1,400",null,null,Apartment,2017,"Garage, Off-street, On-street, Covered",null,"$1,607","$2,250,018",https://www.zillow.com/homedetails/1825-S-Horne-St-Oceanside-CA-92054/16584995_zpid/
,"$279,000","73544 Cedar Dr, Twentynine Palms, CA 92277",73544 Cedar Dr,TwentyninePalms,CA,92277,1,4,"1,600",null,null,Apartment,1947,"Garage, Garage - Attached, Covered",null,$174,null,https://www.zillow.com/homedetails/73544-Cedar-Dr-Twentynine-Palms-CA-92277/17503941_zpid/
,"$1,325,000","72-74 Santa Rosa Ave, Pacifica, CA 94044",72-74 Santa Rosa Ave,Pacifica,CA,94044,--,--,"2,370",null,null,Apartment,1952,Garage - Attached,null,$559,"$1,380,208",https://www.zillow.com/homedetails/72-74-Santa-Rosa-Ave-Pacifica-CA-94044/2076969862_zpid/
,"$435,000","1802 Sutter St, Vallejo, CA 94590",1802 Sutter St,Vallejo,CA,94590,4,3,"1,710",null,null,Apartment,1943,0 spaces,null,$254,"$446,756",https://www.zillow.com/homedetails/1802-Sutter-St-Vallejo-CA-94590/2077306186_zpid/
,"$300,000","275 E Hawthorne St, Coalinga, CA 93210",275 E Hawthorne St,Coalinga,CA,93210,6,4,"2,415",null,null,Apartment,2007,"Garage, Garage - Attached, Covered",null,$124,"$300,001",https://www.zillow.com/homedetails/275-E-Hawthorne-St-Coalinga-CA-93210/79537762_zpid/
,"$210,000","121 Cramer St, Bakersfield, CA 93308",121 Cramer St,Bakersfield,CA,93308,--,--,"1,974",null,null,Apartment,1987,"Garage - Attached, Covered",null,$106,"$211,019",https://www.zillow.com/homedetails/121-Cramer-St-Bakersfield-CA-93308/18923648_zpid/
,"$299,995","116 N I St, San Bernardino, CA 92410",116 N I St,SanBernardino,CA,92410,3,2,"1,042",null,null,Apartment,1940,"Garage, Garage - Attached",null,$288,"$299,996",https://www.zillow.com/homedetails/116-N-I-St-San-Bernardino-CA-92410/17222781_zpid/
,"$889,000","4433 Ryer Rd E, Walnut Grove, CA 95690",4433 Ryer Rd E,WalnutGrove,CA,95690,2,--,--,null,null,Apartment,No Data,Carport,null,null,"$883,543",https://www.zillow.com/homedetails/4433-Ryer-Rd-E-Walnut-Grove-CA-95690/2077580935_zpid/
,"$405,000","430 W 16th St, San Bernardino, CA 92405",430 W 16th St,SanBernardino,CA,92405,4,3,3,null,null,Apartment,1938,"Garage, Garage - Attached, Garage - Detached, Covered",null,"$135,000","$405,003",https://www.zillow.com/homedetails/430-W-16th-St-San-Bernardino-CA-92405/17232856_zpid/
,"$224,950","2407 Olympic Drive, Bakersfield, CA 93308",2407 Olympic Drive,Bakersfield,CA,93308,--,--,"1,662",null,null,Apartment,1941,"Garage - Detached, Covered",null,$135,"$224,951",https://www.zillow.com/homedetails/2407-Olympic-Drive-Bakersfield-CA-93308/2100927640_zpid/
,"$498,000","445 Valley View Rd, El Sobrante, CA 94803",445 Valley View Rd,ElSobrante,CA,94803,4,4,"1,922",null,null,Apartment,1948,0 spaces,null,$259,"$500,503",https://www.zillow.com/homedetails/445-Valley-View-Rd-El-Sobrante-CA-94803/2077028249_zpid/
,"$141,500","162 E M St, Colton, CA 92324",162 E M St,Colton,CA,92324,3,1,"1,756",null,null,Apartment,1915,"Garage, Garage - Attached",null,$81,null,https://www.zillow.com/homedetails/162-E-M-St-Colton-CA-92324/17252342_zpid/
,"$298,000","1171 Peach St, Brawley, CA 92227",1171 Peach St,Brawley,CA,92227,6,--,"1,925",null,null,Apartment,1940,0 spaces,null,$155,null,https://www.zillow.com/homedetails/1171-Peach-St-Brawley-CA-92227/2076758100_zpid/
,"$1,200,000","2235 Rose St, Berkeley, CA 94709",2235 Rose St,Berkeley,CA,94709,5,3,"2,705",null,null,Apartment,1907,"Garage, Carport, Covered",null,$444,"$1,338,017",https://www.zillow.com/homedetails/2235-Rose-St-Berkeley-CA-94709/24843451_zpid/
,"$400,000","1433 Coolidge Ave, National City, CA 91950",1433 Coolidge Ave,NationalCity,CA,91950,2,2,769,null,null,Apartment,1936,0 spaces,null,$520,"$409,183",https://www.zillow.com/homedetails/1433-Coolidge-Ave-National-City-CA-91950/295363919_zpid/
,"$190,000","15853 M St, Mojave, CA 93501",15853 M St,Mojave,CA,93501,3,2,"1,763",null,null,Apartment,1957,Carport,null,$108,"$190,110",https://www.zillow.com/homedetails/15853-M-St-Mojave-CA-93501/18966288_zpid/
,"$795,000","5014 W 101st St, Inglewood, CA 90304",5014 W 101st St,Inglewood,CA,90304,3,3,"1,758",null,null,Apartment,1989,"Garage - Attached, Covered",null,$452,"$795,117",https://www.zillow.com/homedetails/5014-W-101st-St-Inglewood-CA-90304/20347137_zpid/
,"$319,900","11108 Chico Ave, Pomona, CA 91766",11108 Chico Ave,Pomona,CA,91766,5,3,576,null,null,Apartment,1945,"Garage, Carport, Covered",null,$555,"$319,903",https://www.zillow.com/homedetails/11108-Chico-Ave-Pomona-CA-91766/17531175_zpid/
,"$148,500","11001 Santa Barbara St, Lamont, CA 93241",11001 Santa Barbara St,Lamont,CA,93241,8,2,"1,560",null,null,Apartment,1938,0 spaces,null,$95,"$195,614",https://www.zillow.com/homedetails/11001-Santa-Barbara-St-Lamont-CA-93241/81863411_zpid/
,"$607,666","11515 Basye St, El Monte, CA 91732",11515 Basye St,ElMonte,CA,91732,4,2,"1,456",null,null,Apartment,1933,Covered,null,$417,"$624,438",https://www.zillow.com/homedetails/11515-Basye-St-El-Monte-CA-91732/21608515_zpid/
,"$225,000","132 W A St APT A, Brawley, CA 92227",132 W A St APT A,Brawley,CA,92227,4,--,"1,504",null,null,Apartment,1936,0 spaces,null,$150,"$229,230",https://www.zillow.com/homedetails/132-W-A-St-APT-A-Brawley-CA-92227/18856785_zpid/
,"$1,695,000","183-185 Villa Ter, San Francisco, CA 94114",183-185 Villa Ter,SanFrancisco,CA,94114,4,4,"2,416",null,null,Apartment,1976,0 spaces,null,$702,"$1,700,872",https://www.zillow.com/homedetails/183-185-Villa-Ter-San-Francisco-CA-94114/2077545682_zpid/
,"$639,000","1401 N Central Ave APT 17, Glendale, CA 91202",1401 N Central Ave APT 17,Glendale,CA,91202,3,2,"1,313",null,null,Apartment,1962,"Garage - Attached, Covered",$505/mo,$487,"$639,018",https://www.zillow.com/homedetails/1401-N-Central-Ave-APT-17-Glendale-CA-91202/20828214_zpid/
,"$429,977","28102-28100 Benigni Ave, Sun City, CA 92585",28102-28100 Benigni Ave,SunCity,CA,92585,6,4,"2,934",null,null,Apartment,1985,0 spaces,null,$147,"$434,023",https://www.zillow.com/homedetails/28102-28100-Benigni-Ave-Sun-City-CA-92585/2076910846_zpid/
