Bath,Bed,City,Half-bath,House_type,Latitude,Listing_type,Longitude,Price,Square_Feet,State,Street,Zip_code,Rent
1,1,Los Angeles,0,Apartment,34.04582,FOR SALE,-118.2606,449000,650,CA,645 9th Street 224,90015,2853
1,1,Chula Vista,0,Condo/Townhome,32.6468,FOR SALE,-117.1,242900,796,CA,695 Sea Vale St 105,91910,1495
1,1,Corona,0,Condo/Townhome,33.9006,FOR SALE,-117.532,230000,724,CA,1980 Las Colinas Circle 204,92879,1614
1,1,Fullerton,1,Condo/Townhome,33.902284,FOR SALE,-117.8824014,350000,831,CA,2757 Quail Ridge Circle #38 #38,92835,1640
1,1,los angeles,0,Condo/Townhome,34.0408,FOR SALE,-118.26319,665000,920,CA,1155 South GRAND Avenue 1605,90015,2853
1,1,los angeles,0,Condo/Townhome,34.04799,FOR SALE,-118.23751,575000,735,CA,100 South ALAMEDA Street 279,90012,2025
1,1,Los Angeles,0,Condo/Townhome,34.0811,FOR SALE,-118.343,475000,622,CA,525 N Sycamore Avenue 430,90036,3200
1,1,Long Beach,0,Condo/Townhome,33.7644,FOR SALE,-118.171,459000,632,CA,1750 E Ocean Boulevard 302,90802,1995
1,1,Ladera Ranch,1,Condo/Townhome,33.5546,FOR SALE,-117.646,425000,1057,CA,51 Sansovino,92694,2259
1,1,Fullerton,0,Condo/Townhome,33.9045,FOR SALE,-117.882,289000,676,CA,3046 Associated Road 43,92835,1640
1,1,Santa Ana,0,Condo/Townhome,33.696,FOR SALE,-117.881,277000,647,CA,1001 W Stevens Avenue 425,92707,1925
1,1,Lake Balboa,0,Condo/Townhome,34.1986,FOR SALE,-118.484,259000,608,CA,7035 Woodley Avenue 118,91406,1950
1,1,Sherman Oaks,0,Condo/Townhome,34.1531,FOR SALE,-118.45384,379000,698,CA,4501 CEDROS Avenue 130,91403,1850
1,1,San Diego,0,Condo/Townhome,32.7828,FOR SALE,-117.112,259900,530,CA,5958 Rancho Mission Rd 209,92108,1760
1,1,Burbank,0,Condo/Townhome,34.1513,FOR SALE,-118.343,449000,768,CA,151 N Maple Street 208,91505,1960
1,1,Oceanside,0,Condo/Townhome,33.2461,FOR SALE,-117.2824,265000,762,CA,5070 Via Manos E,92057,1850
1,1,Santa Clara,0,Condo/Townhome,37.32592,FOR SALE,-121.97147,649000,656,CA,121 Buckingham Dr 46,95051,2333
1,1,Long Beach,0,Condo/Townhome,33.7723,FOR SALE,-118.176,259000,521,CA,416 Orange Avenue 6,90802,1995
1,1,San Diego,0,Condo/Townhome,32.7159,FOR SALE,-117.151,359900,795,CA,1480 Broadway 2319,92101,2645
1,1,San Diego,0,Condo/Townhome,32.9624,FOR SALE,-117.1,285000,572,CA,10369 Azuaga St 159,92129,1825
1,1,Irvine,1,Condo/Townhome,33.6771,FOR SALE,-117.849,619500,1426,CA,513 Rockefeller,92612,2165
1,1,Santa Monica,1,Condo/Townhome,33.99826,FOR SALE,-118.4816,1249000,1081,CA,2960 Neilson Way Unit 204,90405,3394
1,1,San Francisco,0,Condo/Townhome,37.78095,FOR SALE,-122.39155,1095000,1378,CA,650 2nd Street Unit 302,94107,3402
1,1,Coronado,0,Condo/Townhome,32.6806,FOR SALE,-117.179,4500000,1085,CA,1500 Orange Avenue Cottage 10,92118,2305
1,1,Irvine,0,Condo/Townhome,33.6711,FOR SALE,-117.775,400000,814,CA,287 Tangelo 333,92618,1935
2,1,Los Angeles,0,Condo/Townhome,34.10293,FOR SALE,-118.34746,480000,912,CA,7250 Franklin Ave Unit 508,90046,3215
1,1,San Diego,0,Condo/Townhome,32.7128,FOR SALE,-117.156,395000,650,CA,908 G Street 13,92101,2645
2,1,los angeles,0,Condo/Townhome,34.1014,FOR SALE,-118.32545,997000,1320,CA,6250 Hollywood 11b,90028,2265
1,1,Sunnyvale,0,Condo/Townhome,37.392582,FOR SALE,-122.013481,799876,870,CA,601 Arcadia Terrace Unit: 103,94085,3252
1,1,Rancho Santa Margarita,0,Condo/Townhome,33.6182,FOR SALE,-117.613,305000,608,CA,32 Baya,92688,1535
1,1,Murrieta,0,Condo/Townhome,33.5572,FOR SALE,-117.158,174000,762,CA,28661 Via Las Flores 307,92563,1631
1,1,Long Beach,0,Condo/Townhome,33.7736,FOR SALE,-118.176,305000,686,CA,550 Orange Avenue 113,90802,1995
1,1,San Diego,0,Condo/Townhome,32.7669,FOR SALE,-117.18,289900,661,CA,6406 Friars Rd 134,92108,1760
1,1,Corona,0,Condo/Townhome,33.9006,FOR SALE,-117.531,225000,724,CA,2040 Las Colinas Circle 206,92879,1614
1,1,Huntington Beach,0,Condo/Townhome,33.6882,FOR SALE,-117.993,208000,657,CA,18900 Delaware Street 335,92648,2052
1,1,Studio City,1,Condo/Townhome,34.1409,FOR SALE,-118.368,499000,1094,CA,10926 Bluffside Drive 3,91604,2126
1,1,San Diego,0,Condo/Townhome,32.7098,FOR SALE,-117.156,569000,848,CA,427 9th Avenue 1403,92101,2645
2,1,San Francisco,0,Condo/Townhome,37.771652,FOR SALE,-122.411812,1100000,1343,CA,380 10th Street Unit: 18,94103,2964
1,1,Huntington Beach,0,Condo/Townhome,33.715301,FOR SALE,-118.013312,325555,754,CA,6600 Warner Avenue #119,92647,1725
1,1,San Francisco,1,Condo/Townhome,37.783062,FOR SALE,-122.390114,1168000,815,CA,219 Brannan Street Unit: 15A,94107,3402
1,1,Long Beach,0,Condo/Townhome,33.7662,FOR SALE,-118.188,395000,680,CA,388 E Ocean Boulevard 407,90802,1995
1,1,Newport Beach,0,Condo/Townhome,33.6251,FOR SALE,-117.933,324900,561,CA,300 Cagney Lane 111,92663,1705
1,1,Long Beach,0,Condo/Townhome,33.76616,FOR SALE,-118.18812,488000,600,CA,388 East OCEAN 1102,90802,1995
1,1,Walnut Creek,0,Condo/Townhome,37.9139,FOR SALE,-122.058,478000,858,CA,420 N Civic Dr 309,94596,2700
1,1,San Diego,0,Condo/Townhome,32.7097,FOR SALE,-117.154,450000,966,CA,1150 J Street 220,92101,2645
1,1,Rancho Mission Viejo,1,Condo/Townhome,33.5277,FOR SALE,-117.618,449000,974,CA,3 Higo Street,92694,2259
1,1,Long Beach,0,Condo/Townhome,33.7662,FOR SALE,-118.188,399000,680,CA,388 E Ocean Boulevard 406,90802,1995
1,1,San Diego,0,Condo/Townhome,32.7159,FOR SALE,-117.151,379000,808,CA,1480 Broadway 2620,92101,2645
1,1,Aliso Viejo,0,Condo/Townhome,33.5694,FOR SALE,-117.722,369000,762,CA,23412 PACIFIC PARK Drive 28B,92656,1835
1,1,Laguna Niguel,0,Condo/Townhome,33.5658,FOR SALE,-117.703,343900,890,CA,27368 Young Drive,92677,2120
1,1,Thousand Oaks,0,Condo/Townhome,34.190377,FOR SALE,-118.885663,219000,514,CA,351 Chestnut Hill Court 36,91360,1470
1,1,Lake Forest,0,Condo/Townhome,33.6414,FOR SALE,-117.681,300000,599,CA,25671 Le Parc 1,92630,1635
1,1,San Diego,0,Condo/Townhome,32.8013,FOR SALE,-117.027,249950,724,CA,7838 Cowles Mountain Court C17,92119,1500
1,1,Lake Forest,0,Condo/Townhome,33.6595,FOR SALE,-117.65,310000,686,CA,20702 El Toro Road 406,92630,1635
1,1,Irvine,0,Condo/Townhome,33.715,FOR SALE,-117.76,245000,415,CA,264 Streamwood,92620,1840
1,1,Glendale,0,Condo/Townhome,34.16724,FOR SALE,-118.256271,460000,759,CA,125 W Mountain Street 210,91202,2380
1,1,Pomona,0,Condo/Townhome,34.0253,FOR SALE,-117.763,298800,751,CA,27 Carriage Way,91766,1765
1,1,San Jose,0,Condo/Townhome,37.32031,FOR SALE,-121.84224,398000,730,CA,1088 Summerplace Dr,95122,1950
1,1,Mission Viejo,1,Condo/Townhome,33.62419,FOR SALE,-117.67383,305000,698,CA,26181 La Real #A,92691,1835
1,1,Aliso Viejo,0,Condo/Townhome,33.5694,FOR SALE,-117.722,379000,780,CA,23412 Pacific Park Drive 17J,92656,1835
1,1,Los Angeles,0,Condo/Townhome,34.06155,FOR SALE,-118.30944,550000,830,CA,3810 Wilshire Blvd Unit 1602,90010,2870
1,1,Rancho Cucamonga,0,Condo/Townhome,34.099,FOR SALE,-117.5838,220000,708,CA,10151 Arrow Route #133,91730,1743
1,1,San Diego,0,Condo/Townhome,32.7089,FOR SALE,-117.155,530000,1049,CA,350 11th Ave 347,92101,2645
1,1,Long Beach,0,Condo/Townhome,33.7715878,FOR SALE,-118.1819387,399900,803,CA,834 E 4th Street 5,90802,1995
2,1,Ontario,0,Condo/Townhome,34.03303146,FOR SALE,-117.6386414,318800,990,CA,3230 E Yountville Dr #14,91761,1356
1,1,San Diego,0,Condo/Townhome,32.783707,FOR SALE,-117.112175,259500,530,CA,6064 Rancho Mission 444,92108,1760
1,1,Los Angeles,1,Condo/Townhome,34.0646,FOR SALE,-118.449,725000,829,CA,10982 Roebling Avenue 104,90024,3110
1,1,Pacific Beach,0,Condo/Townhome,32.80095,FOR SALE,-117.228,297000,714,CA,2266 Grand Ave 28,92109,1825
1,1,Valencia,0,Condo/Townhome,34.4199,FOR SALE,-118.564,339500,800,CA,24545 Town Center Drive 5303,91355,2060
1,1,Laguna Niguel,0,Condo/Townhome,33.52596,FOR SALE,-117.68446,339900,759,CA,61 Martinique Street 280,92677,2120
1,1,San Francisco,0,Condo/Townhome,37.78606,FOR SALE,-122.392593,995000,710,CA,425 1st Street Unit: 4905,94105,4185
1,1,Long Beach,0,Condo/Townhome,33.76493,FOR SALE,-118.17556,745000,990,CA,1310 E Ocean Boulevard,90802,1995
1,1,Long Beach,0,Condo/Townhome,33.76566,FOR SALE,-118.17112,290000,632,CA,1724 E 1st St 11A,90802,1995
1,1,San Diego,0,Condo/Townhome,32.70799637,FOR SALE,-117.1549377,260000,739,CA,253 10th Ave 222,92101,2645
1,1,Pasadena,1,Condo/Townhome,34.138543,FOR SALE,-118.137863,475000,965,CA,420 S Madison Avenue 301,91101,2333
1,1,Huntington Beach,0,Condo/Townhome,33.662673,FOR SALE,-118.008079,475000,781,CA,1200 Pacific Coast Highway 113,92648,2052
1,1,Newport Beach,0,Single Family,33.6152,FOR SALE,-117.926,1350000,1200,CA,611 Lido Park Drive 5E,92663,1705
1,1,Sherman Oaks,0,Single Family,34.14196,FOR SALE,-118.45439,1850000,1141,CA,14818 Round Valley Drive,91403,1850
1,1,Palm Desert,0,Single Family,33.689117,FOR SALE,-116.424347,395000,440,CA,71105 Cholla Way,92260,1220
1,1,Burbank,0,Single Family,34.17,FOR SALE,-118.333,535000,779,CA,642 N Buena Vista Street,91505,1960
1,1,Thousand Oaks,0,Single Family,34.180379,FOR SALE,-118.866449,468000,767,CA,603 Irving Drive,91360,1470
1,1,Brea,0,Single Family,33.9384,FOR SALE,-117.792,1250000,700,CA,6751 Carbon Canyon Road,92823,2210
1,1,Palm Desert,0,Single Family,33.68776,FOR SALE,-116.42053,599000,380,CA,71301 CHOLLA Way,92260,1220
1,1,Anaheim,0,Single Family,33.828952,FOR SALE,-117.925575,319900,606,CA,406 S West St,92805,1592
1,1,Santa Barbara,0,Single Family,34.447788,FOR SALE,-119.717993,1040000,596,CA,2835 Exeter Pl,93105,3000
1,2,Union City,1,Condo/Townhome,37.58787,FOR SALE,-122.08037,558000,1054,CA,4554 Reyes Drive,94587,3015
1,2,Palm Desert,0,Condo/Townhome,33.708874,FOR SALE,-116.397904,159900,924,CA,72616 Edgehill Drive 4,92260,1370
2,2,Fremont,1,Condo/Townhome,37.56023,FOR SALE,-122.0536,999999,1655,CA,5435 Quebec Cmn,94555,2500
1,2,Campbell,0,Condo/Townhome,37.29272,FOR SALE,-121.94686,575000,810,CA,208 Watson Dr 1,95008,4316
1,2,Lake Forest,0,Condo/Townhome,33.633,FOR SALE,-117.688,359000,873,CA,22752 Madrid Drive,92630,1993
2,2,Oceanside,0,Condo/Townhome,33.2146,FOR SALE,-117.326,319900,1250,CA,3760 Vista Campana 2,92057,2165
2,2,Murrieta,0,Condo/Townhome,33.5558,FOR SALE,-117.161,314990,1532,CA,26095 Mayfield Union Way A,92563,1817
1,2,Pomona,0,Condo/Townhome,34.0253,FOR SALE,-117.763,309000,892,CA,16 Country Mile Road,91766,1905
1,2,San Diego,0,Condo/Townhome,32.7089,FOR SALE,-117.155,615000,976,CA,350 11Th Ave 431,92101,4150
1,2,Oakland,1,Condo/Townhome,37.8002294,FOR SALE,-122.272868,599000,1200,CA,801 Franklin Street #1234,94607,3640
2,2,Hayward,1,Condo/Townhome,37.6734,FOR SALE,-122.063,574999,1640,CA,1884 Sally Creek Circle,94541,2660
2,2,Westlake Village,1,Condo/Townhome,34.161,FOR SALE,-118.807046,574900,1251,CA,308 Via Colinas,91362,2585
3,2,San Dimas,0,Condo/Townhome,34.105,FOR SALE,-117.807,565000,2000,CA,270 S San Dimas Avenue,91773,1730
2,2,San Diego,0,Condo/Townhome,32.7729,FOR SALE,-117.148,524900,1179,CA,8233 Station Village 2416,92108,1980
2,2,Woodland Hills,0,Condo/Townhome,34.1731,FOR SALE,-118.601,489950,1295,CA,21650 Burbank Boulevard 102,91367,2345
2,2,San Diego,0,Condo/Townhome,32.8035,FOR SALE,-117.237,475000,1033,CA,1855 Diamond St 113,92109,2395
2,2,San Diego,1,Condo/Townhome,32.7971,FOR SALE,-117.244,819900,1536,CA,1380 Grand Ave,92109,2395
2,2,Los Angeles,0,Condo/Townhome,34.0616,FOR SALE,-118.358,799000,1323,CA,750 S Spaulding Avenue 203,90036,4499
2,2,Irvine,1,Condo/Townhome,33.6995,FOR SALE,-117.754,795000,1824,CA,103 Mission,92620,2375
2,2,Los Angeles,1,Condo/Townhome,34.1,FOR SALE,-118.349,795000,1559,CA,1601 N Fuller Avenue 104,90046,3800
2,2,Irvine,0,Condo/Townhome,33.6385,FOR SALE,-117.76,768990,1281,CA,133 Burgess,92618,2525
2,2,San Diego,1,Condo/Townhome,32.7089,FOR SALE,-117.155,739900,1350,CA,350 11th Ave 1131,92101,4150
2,2,Walnut Creek,0,Condo/Townhome,37.931,FOR SALE,-122.055,698000,1144,CA,57 Iron Horse Ln,94597,2980
2,2,Irvine,1,Condo/Townhome,33.6764,FOR SALE,-117.83,684900,1300,CA,46 Alcoba,92614,2765
2,2,Chula Vista,0,Condo/Townhome,32.620078,FOR SALE,-116.958297,425000,1579,CA,1757 Cripple Creek Dr 1,91915,2320
1,2,Chula Vista,0,Condo/Townhome,32.5963,FOR SALE,-117.04,299000,889,CA,1679 Melrose Ave D,91911,2196
2,2,San Jose,0,Condo/Townhome,37.3107524,FOR SALE,-121.8826458,728888,1096,CA,1375 Lick AVE Apt 628,95110,3654
2,2,Irvine,1,Condo/Townhome,33.6655,FOR SALE,-117.775,699900,1215,CA,7 Alevera Street,92618,2525
2,2,Brea,0,Condo/Townhome,33.9079,FOR SALE,-117.848,639000,1344,CA,426 Maravilla Lane,92823,2895
2,2,Palm Desert,0,Condo/Townhome,33.691372,FOR SALE,-116.385376,629000,1629,CA,73356 Irontree Dr Drive,92260,1370
2,2,los angeles,0,Condo/Townhome,33.99936,FOR SALE,-118.42394,599000,1027,CA,4125 Inglewood 4,90066,3509
2,2,Corona,0,Condo/Townhome,33.77383,FOR SALE,-117.50932,439900,1909,CA,23803 La Posta Court,92883,2195
2,2,Aliso Viejo,0,Condo/Townhome,33.5694,FOR SALE,-117.722,445000,1147,CA,23412 Pacific Park Drive 35K,92656,2285
1,2,Placentia,2,Condo/Townhome,33.8706,FOR SALE,-117.866,432000,1270,CA,110 Kauai Lane,92870,1710
2,2,Woodland Hills,0,Condo/Townhome,34.1725,FOR SALE,-118.6,424999,920,CA,21550 Burbank Boulevard 205,91367,2345
2,2,West Hollywood,0,Condo/Townhome,34.07653,FOR SALE,-118.38513,735000,870,CA,141 Clark Dr #301,90048,8500
2,2,Cupertino,0,Condo/Townhome,37.32281,FOR SALE,-122.0696,1525000,1313,CA,22650 Silver Oak LN,95014,3595
2,2,Playa Vista,1,Condo/Townhome,33.97015,FOR SALE,-118.42837,1699000,2400,CA,6241 Crescent Park 406,90094,3495
2,2,los angeles,0,Condo/Townhome,34.06093,FOR SALE,-118.43727,1649000,1697,CA,10727 Wilshire 605,90024,7995
2,2,Playa Vista,0,Condo/Townhome,33.972,FOR SALE,-118.429,939000,1230,CA,5625 Crescent Park W 208,90094,3495
4,2,los angeles,0,Condo/Townhome,34.10357,FOR SALE,-118.33735,850000,1370,CA,6735 YUCCA Street 504,90028,3080
2,2,San Diego,1,Condo/Townhome,32.7996,FOR SALE,-117.245,829900,1540,CA,1369 Felspar St,92109,2395
1,2,Paso Robles,1,Condo/Townhome,35.6286,FOR SALE,-120.674,269000,952,CA,714 Tanner Drive A-6,93446,2125
1,2,Lakeside,0,Condo/Townhome,32.8541,FOR SALE,-116.93,254900,728,CA,9731 Winter Gardens Boulevard 66,92040,1150
2,2,Rancho Santa Margarita,1,Condo/Townhome,33.65664,FOR SALE,-117.58425,519900,1350,CA,11  Vista Sierra 62,92688,1840
2,2,Rancho Cucamonga,1,Condo/Townhome,34.10261917,FOR SALE,-117.5842285,445000,1838,CA,8072 Cresta Bella Road,91730,1917
2,2,Huntington Beach,0,Condo/Townhome,33.6777,FOR SALE,-117.995,439900,973,CA,215 Wichita Avenue 204,92648,2695
1,2,Walnut Creek,0,Condo/Townhome,37.9187,FOR SALE,-122.062,418000,924,CA,2548 Jones Rd 9,94597,2980
2,2,San Diego,0,Condo/Townhome,32.9622,FOR SALE,-117.1,375000,881,CA,10375 Azuaga St 115,92129,1994
2,2,Corona,0,Condo/Townhome,33.8746,FOR SALE,-117.627,359900,1004,CA,3160 Castelar Court 201,92882,1585
1,2,Mission Viejo,1,Condo/Townhome,33.6294,FOR SALE,-117.671,349900,940,CA,22928 Via Nuez 36,92691,2560
2,2,San Diego,0,Condo/Townhome,32.7769,FOR SALE,-117.253,1275000,725,CA,3443 Ocean Front Walk D,92109,2395
2,2,Marina Del Rey,1,Condo/Townhome,33.98138,FOR SALE,-118.43778,920000,1582,CA,13232 MINDANAO Way,90292,4300
2,2,Orange,0,Condo/Townhome,33.7823,FOR SALE,-117.876,455000,1602,CA,400 S Flower Street 2,92868,2694
3,2,los angeles,0,Condo/Townhome,34.1014,FOR SALE,-118.32545,1050000,1627,CA,6250 HOLLYWOOD Boulevard 6i,90028,3080
2,2,San Diego,0,Condo/Townhome,32.7212,FOR SALE,-117.168,729000,1383,CA,1501 India Street 301,92101,4150
2,2,Murrieta,0,Condo/Townhome,33.5424,FOR SALE,-117.168,254900,890,CA,26368 Arboretum Way 3204,92563,1817
2,2,Antioch,0,Condo/Townhome,38.0022,FOR SALE,-121.83,195000,944,CA,2415 Horizon Ln 127,94509,1955
2,2,Sacramento,1,Condo/Townhome,38.67975,FOR SALE,-121.5222,559999,2538,CA,2642 Aspen Valley Ln,95835,1943
2,2,San Diego,0,Condo/Townhome,32.86355,FOR SALE,-117.20041,459000,848,CA,7120 Shoreline 2207,92122,2550
1,2,Walnut Creek,1,Condo/Townhome,37.9157,FOR SALE,-122.058,600000,1166,CA,450 Westcliffe Pl,94597,2980
2,2,Irvine,1,Condo/Townhome,33.6817,FOR SALE,-117.755,588000,1172,CA,88 Bronze Leaf,92620,2375
1,2,Irvine,0,Condo/Townhome,33.6867,FOR SALE,-117.81123,475000,917,CA,900  Solvay Aisle,92606,2780
1,2,La Mesa,1,Condo/Townhome,32.78355,FOR SALE,-117.03497,314999,1068,CA,5700 Baltimore Dr 76,91942,2249
2,2,Anaheim,0,Condo/Townhome,33.8296,FOR SALE,-117.906,499000,1203,CA,714 S Casita Street,92805,2319
2,2,North Hollywood,0,Condo/Townhome,34.1588,FOR SALE,-118.375,499000,974,CA,11230 Peach Grove Street 105,91601,3120
2,2,San Diego,0,Condo/Townhome,32.9502,FOR SALE,-117.109,474900,1056,CA,9971 Paseo Montril,92129,1994
3,2,Valley Glen,0,Condo/Townhome,34.1936,FOR SALE,-118.438,449900,1094,CA,14018 Vanowen Street 7,91405,2529
1,2,Los Alamitos,0,Condo/Townhome,33.7996,FOR SALE,-118.066,448000,900,CA,3845 Farquhar Avenue 308,90720,2595
1,2,Orange,1,Condo/Townhome,33.795,FOR SALE,-117.859,430000,1190,CA,700 W Walnut Avenue 14,92868,2694
2,2,San Francisco,1,Condo/Townhome,37.786072,FOR SALE,-122.392609,2050000,1724,CA,489 Harrison Street Unit: #306,94105,5310
2,2,San Diego,1,Condo/Townhome,32.7193,FOR SALE,-117.171,1595000,1811,CA,1325 Pacific Hwy 2201,92101,4150
2,2,Los Angeles,0,Condo/Townhome,34.0456,FOR SALE,-118.259,870000,1360,CA,801 S. Grand Ave. 1502,90017,3295
1,2,Los Angeles,0,Condo/Townhome,34.11248,FOR SALE,-118.28639,915000,1005,CA,4411 Los Feliz Unit 902,90027,2690
1,2,Upland,1,Condo/Townhome,34.0906,FOR SALE,-117.676,290000,994,CA,305 Spencer Avenue 125,91786,1910
1,2,Ontario,0,Condo/Townhome,34.083,FOR SALE,-117.613,275000,816,CA,1360 N Placer Avenue,91764,2030
1,2,Ontario,0,Condo/Townhome,34.082,FOR SALE,-117.613,275000,816,CA,1324 N Placer Avenue,91764,2030
2,2,Irvine,0,Condo/Townhome,33.6586,FOR SALE,-117.83086,735000,1507,CA,9  Madrona,92612,2745
2,2,San Diego,0,Condo/Townhome,32.72125,FOR SALE,-117.16784,720000,1540,CA,1501 India St.,92101,4150
2,2,Irvine,0,Condo/Townhome,33.68046,FOR SALE,-117.75615,625000,1182,CA,110 Evening Sun,92620,2375
2,2,Pasadena,0,Condo/Townhome,34.13734,FOR SALE,-118.1372,469000,1019,CA,497 South El Molino Avenue #310,91101,3393
2,2,Thousand Oaks,1,Condo/Townhome,34.180286,FOR SALE,-118.850154,469900,1361,CA,192 Helecho Court,91362,2585
2,2,Diamond Bar,1,Condo/Townhome,34.0297,FOR SALE,-117.792,419900,1145,CA,24206 Sylvan Glen Road C,91765,1927
1,2,Santa Ana,1,Condo/Townhome,33.7567,FOR SALE,-117.842,349900,1101,CA,1344 Cabrillo Park Drive F,92701,2040
2,2,Oceanside,0,Condo/Townhome,33.2463,FOR SALE,-117.315,280000,912,CA,194 Avenida Descanso C,92057,2165
2,2,Newport Beach,0,Condo/Townhome,33.625,FOR SALE,-117.933,703000,1392,CA,101 Scholz 235,92663,2209
