1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$5,000 ",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]",West Hollywood,"723 Westmount Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/723-westmount-dr-west-hollywood-ca-unit-305/btvkyb8/,"1,550","1,550 Sq Ft",CA,,Condos,90069
,"$1,875 ",,,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,875'}]",Long Beach,"1066 Gladys Ave, Long Beach, CA 90804",12 Month Lease,https://www.apartments.com/1066-gladys-ave-long-beach-ca-unit-3/ej2jscp/,850,850 Sq Ft,CA,,Condos,90804
,"$4,500 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Los Angeles,"5831 Seawalk Dr, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/5831-seawalk-dr-los-angeles-ca-unit-118/5f8bdbq/,"1,804","1,804 Sq Ft",CA,,Condos,90094
,"$3,100 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",Culver City,"5651 N Sumner Way, Culver City, CA 90230",12 Month Lease,https://www.apartments.com/5651-n-sumner-way-culver-city-ca-unit-310/efzxs0q/,"1,133","1,133 Sq Ft",CA,,Condos,90230
,,"$5,300 ",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,300'}]",Santa Monica,"1020 Ocean Park Blvd, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/1020-ocean-park-blvd-santa-monica-ca-unit-4/kzqxkf8/,"1,776","1,776 Sq Ft",CA,,Condos,90405
,"$6,795 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,795'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1503/fkj83wr/,"1,481","1,481 Sq Ft",CA,,Condos,90292
,,"$3,100 ",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",Glendale,"331 W Wilson Ave, Glendale, CA 91203",12 Month Lease,https://www.apartments.com/331-w-wilson-ave-glendale-ca-unit-105/5c6g66q/,"1,218","1,218 Sq Ft",CA,,Condos,91203
,,"$2,400 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]",Los Angeles,"19355 Sherman Way, Los Angeles, CA 91335",12 Month Lease,https://www.apartments.com/19355-sherman-way-los-angeles-ca-unit-19/jdrp207/,"1,449","1,449 Sq Ft",CA,,Condos,91335
"$2,350 ",,,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}]",Los Angeles,"1745 Camino Palmero St, Los Angeles, CA 90046",12 Month Lease,https://www.apartments.com/1745-camino-palmero-st-los-angeles-ca-unit-441/sv5l6g7/,900,900 Sq Ft,CA,,Condos,90046
"$4,195 ",,,,25-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$4,195'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1606/5mc6nep/,891,891 Sq Ft,CA,,Condos,90292
,"$2,950 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]",Long Beach,"525 E Seaside Way, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/525-e-seaside-way-long-beach-ca-unit-1804/yh8t66r/,"1,030","1,030 Sq Ft",CA,,Condos,90802
,"$4,200 ",,,16-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]",Los Angeles,"13075 Pacific Promenade, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/13075-pacific-promenade-los-angeles-ca-unit-416/krqxmyc/,"1,100","1,100 Sq Ft",CA,,Condos,90094
,"$4,700 ",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,700'}]",Santa Monica,"1226 23rd St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1226-23rd-st-santa-monica-ca-unit-6/4rwwt3j/,"1,300","1,300 Sq Ft",CA,,Condos,90404
,"$3,500 ",,,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Los Angeles,"1610 Veteran Ave, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/1610-veteran-ave-los-angeles-ca-unit-101/qw9m50y/,"1,112","1,112 Sq Ft",CA,,Condos,90024
"$2,700 ",,,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,700'}]",Los Angeles,"825 E 4th St, Los Angeles, CA 90013",12 Month Lease,https://www.apartments.com/825-e-4th-st-los-angeles-ca-unit-309/ctbvb8g/,"1,031","1,031 Sq Ft",CA,,Condos,90013
,"$5,500 ",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",Marina del Rey,"21 Spinnaker St, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/21-spinnaker-st-marina-del-rey-ca-unit-7/qjmfxbx/,"1,100","1,100 Sq Ft",CA,,Condos,90292
,,"$2,850 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]",Los Angeles,"18550 Hatteras St, Los Angeles, CA 91356",12 Month Lease,https://www.apartments.com/18550-hatteras-st-los-angeles-ca-unit-111/82mzcm2/,"1,340","1,340 Sq Ft",CA,,Condos,91356
,,"$2,600 ",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]",Los Angeles,"6716 N Clybourn Ave, Los Angeles, CA 91606",12 Month Lease,https://www.apartments.com/6716-n-clybourn-ave-los-angeles-ca-unit-219/h076cy0/,"1,300","1,300 Sq Ft",CA,,Condos,91606
,"$2,450 ",,,1-Dec,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]",Los Angeles,"13959 Victory Blvd, Los Angeles, CA 91401",12 Month Lease,https://www.apartments.com/13959-victory-blvd-los-angeles-ca-unit-1/31l9rgg/,"1,250","1,250 Sq Ft",CA,,Condos,91401
,,"$2,850 ",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]",Pasadena,"28 S Parkwood Ave, Pasadena, CA 91107",12 Month Lease,https://www.apartments.com/28-s-parkwood-ave-pasadena-ca-unit-2/2h0q8rb/,"1,350","1,350 Sq Ft",CA,,Condos,91107
,,"$3,800 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",Los Angeles,"11115 Acama St, Los Angeles, CA 91602",12 Month Lease,https://www.apartments.com/11115-acama-st-los-angeles-ca-unit-1/mfqrxwk/,"1,590","1,590 Sq Ft",CA,,Condos,91602
"$2,795 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,795'}]",West Hollywood,"1275 Havenhurst Dr, West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/1275-havenhurst-dr-west-hollywood-ca-unit-2/2g1nyc9/,900,900 Sq Ft,CA,,Condos,90046
,"$3,495 ",,,1-Nov,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]",Los Angeles,"5937 Willoughby Ave, Los Angeles, CA 90038",12 Month Lease,https://www.apartments.com/5937-willoughby-ave-los-angeles-ca-unit-4/jse92v6/,"1,570","1,570 Sq Ft",CA,,Condos,90038
"$3,900 ",,,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,900'}]",Santa Monica,"2500 4th St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2500-4th-st-santa-monica-ca-unit-4/n93x24p/,692,692 Sq Ft,CA,,Condos,90405
,"$2,450 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]",Gardena,"2509 W Redondo Beach Blvd, Gardena, CA 90249",12 Month Lease,https://www.apartments.com/2509-w-redondo-beach-blvd-gardena-ca-unit-20/s27sqt7/,"1,200","1,200 Sq Ft",CA,,Condos,90249
"$1,400 ",,,,15-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}]",Lawndale,"14600 S Inglewood Ave, Lawndale, CA 90260",12 Month Lease,https://www.apartments.com/14600-s-inglewood-ave-lawndale-ca-unit-37/vx2tg0f/,750,750 Sq Ft,CA,,Condos,90260
,,,,25-Nov,1 BA,"[{'bedroom_type': 'Studio', 'price': '$2,300'}]",Los Angeles,"1105 Garfield Ave, Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/1105-garfield-ave-los-angeles-ca-unit-0/pxplvfs/,1,1 Sq Ft,CA,"$2,300 ",Condos,90291
"$3,000 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]",Los Angeles,"8001 Redlands St, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8001-redlands-st-los-angeles-ca-unit-307/cdj04zg/,915,915 Sq Ft,CA,,Condos,90293
"$1,250 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,250'}]",Los Angeles,"2491 Purdue Ave, Los Angeles, CA 90064",6 Month Lease,https://www.apartments.com/2491-purdue-ave-los-angeles-ca-unit-213/dkm43qh/,"1,200","1,200 Sq Ft",CA,,Condos,90064
,"$3,200 ",,,15-Nov,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",Malibu,"23901 Civic Center Way, Malibu, CA 90265",12 Month Lease,https://www.apartments.com/23901-civic-center-way-malibu-ca-unit-351/bv93xyc/,970,970 Sq Ft,CA,,Condos,90265
,,"$5,900 ",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,900'}]",Los Angeles,"6030 S Seabluff Dr, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/6030-s-seabluff-dr-los-angeles-ca-unit-322/wmbbf3k/,"1,300","1,300 Sq Ft",CA,,Condos,90094
"$2,150 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}]",West Hollywood,"1435 N Fairfax Ave, West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/1435-n-fairfax-ave-west-hollywood-ca-unit-14/gl0zxfz/,625,625 Sq Ft,CA,,Condos,90046
,"$4,500 ",,,1-Nov,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Los Angeles,"102 N Sweetzer Ave, Los Angeles, CA 90048",12 Month Lease,https://www.apartments.com/102-n-sweetzer-ave-los-angeles-ca-unit-103/2zpvs48/,"1,692","1,692 Sq Ft",CA,,Condos,90048
,"$2,250 ",,,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]",Los Angeles,"20134 Leadwell St, Los Angeles, CA 91306",1 Month Lease,https://www.apartments.com/20134-leadwell-st-los-angeles-ca-unit-371/7ch11cy/,900,900 Sq Ft,CA,,Condos,91306
"$4,995 ",,,,1-Dec,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$4,995'}]",Los Angeles,"865 Comstock Ave, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/865-comstock-ave-los-angeles-ca-unit-3e/2wjrztc/,"1,350","1,350 Sq Ft",CA,,Condos,90024
,"$3,450 ",,,1-Nov,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,450'}]",Santa Monica,"2525 14th St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2525-14th-st-santa-monica-ca-unit-4/g7zgmjw/,879,879 Sq Ft,CA,,Condos,90405
"$3,250 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,250'}]",Los Angeles,"13045 Pacific Promenade, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/13045-pacific-promenade-los-angeles-ca-unit-303/rnqcwt3/,875,875 Sq Ft,CA,,Condos,90094
,,"$6,500 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",Santa Monica,"1037 16th St, Santa Monica, CA 90403",12 Month Lease,https://www.apartments.com/1037-16th-st-santa-monica-ca-unit-10/k0h1y09/,"1,634","1,634 Sq Ft",CA,,Condos,90403
,,"$2,300 ",,1-Nov,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]",Corona,"1022 Explanada St, Corona, CA 92879",12 Month Lease,https://www.apartments.com/1022-explanada-st-corona-ca-unit-105/h3bgt51/,"1,785","1,785 Sq Ft",CA,,Condos,92879
,"$1,850 ",,,1-Nov,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]",South El Monte,"2455 Adelia Ave, South El Monte, CA 91733",12 Month Lease,https://www.apartments.com/2455-adelia-ave-south-el-monte-ca-unit-1/dm6jt2k/,"1,000","1,000 Sq Ft",CA,,Condos,91733
,"$5,895 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,895'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1824/3pvngzf/,"1,434","1,434 Sq Ft",CA,,Condos,90292
,"$2,550 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]",San Diego,"4039 Front St, San Diego, CA 92103",12 Month Lease,https://www.apartments.com/4039-front-st-san-diego-ca-unit-4/en8hffm/,"1,000","1,000 Sq Ft",CA,,Condos,92103
,"$4,200 ",,,7-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]",Marina del Rey,"4140 Glencoe Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/4140-glencoe-ave-marina-del-rey-ca-unit-601/0bnf232/,"1,050","1,050 Sq Ft",CA,,Condos,90292
,,"$3,100 ",,1-Nov,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",El Segundo,"212 E Imperial Ave, El Segundo, CA 90245",12 Month Lease,https://www.apartments.com/212-e-imperial-ave-el-segundo-ca-unit-g/vdfsqrf/,"1,000","1,000 Sq Ft",CA,,Condos,90245
,"$7,895 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$7,895'}]",Los Angeles,"13650 Marina Pointe Dr, Los Angeles, CA 90292",12 Month Lease,https://www.apartments.com/13650-marina-pointe-dr-los-angeles-ca-unit-1103/0dqm371/,"1,780","1,780 Sq Ft",CA,,Condos,90292
,,"$9,495 ",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$9,495'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1629/8lhpnw2/,"1,975","1,975 Sq Ft",CA,,Condos,90292
,"$3,800 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]",San Diego,"200 Harbor Dr, San Diego, CA 92101",12 Month Lease,https://www.apartments.com/200-harbor-dr-san-diego-ca-unit-1101/kkdshs9/,"1,572","1,572 Sq Ft",CA,,Condos,92101
,"$2,800 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Los Angeles,"2811 Francis Ave, Los Angeles, CA 90005",3 Month Lease,https://www.apartments.com/2811-francis-ave-los-angeles-ca-unit-202/zbl3q0w/,900,900 Sq Ft,CA,,Condos,90005
,,"$6,000 ",,1-Nov,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]",Los Angeles,"6400 Pacific Ave, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/6400-pacific-ave-los-angeles-ca-unit-304/kzj38lb/,"1,650","1,650 Sq Ft",CA,,Condos,90293
,"$3,900 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]",Los Angeles,"8180 Manitoba St, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8180-manitoba-st-los-angeles-ca-unit-243/c7nd0pd/,"1,301","1,301 Sq Ft",CA,,Condos,90293
"$2,000 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]",Los Angeles,"215 W 7th St, Los Angeles, CA 90014",12 Month Lease,https://www.apartments.com/215-w-7th-st-los-angeles-ca-unit-1110/kv3r9qc/,650,650 Sq Ft,CA,,Condos,90014
,"$3,500 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Pasadena,"1000 S Orange Grove Blvd, Pasadena, CA 91105",12 Month Lease,https://www.apartments.com/1000-s-orange-grove-blvd-pasadena-ca-unit-6/qn0c7zy/,"1,645","1,645 Sq Ft",CA,,Condos,91105
,"$3,200 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",Los Angeles,"700 S Ardmore Ave, Los Angeles, CA 90005",12 Month Lease,https://www.apartments.com/700-s-ardmore-ave-los-angeles-ca-unit-404/vt4vt1e/,"1,350","1,350 Sq Ft",CA,,Condos,90005
,"$3,600 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",Los Angeles,"121 S Hope St, Los Angeles, CA 90012",12 Month Lease,https://www.apartments.com/121-s-hope-st-los-angeles-ca-unit-109/re8e192/,"1,449","1,449 Sq Ft",CA,,Condos,90012
,"$3,999 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,999'}]",Marina del Rey,"13320 Beach Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13320-beach-ave-marina-del-rey-ca-unit-207/tnydr59/,"1,230","1,230 Sq Ft",CA,,Condos,90292
,,"$6,950 ",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,950'}]",West Hollywood,"950 N Orange Grove Ave, West Hollywood, CA 90046",6 Month Lease,https://www.apartments.com/950-n-orange-grove-ave-west-hollywood-ca-unit-5/k5y4n09/,"2,070","2,070 Sq Ft",CA,,Condos,90046
,,"$3,650 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,650'}]",Burbank,"540 E Angeleno Ave, Burbank, CA 91501",12 Month Lease,https://www.apartments.com/540-e-angeleno-ave-burbank-ca-unit-102/t0n8w2c/,"1,650","1,650 Sq Ft",CA,,Condos,91501
,"$3,400 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,400'}]",West Hollywood,"970 Palm Ave, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/970-palm-ave-west-hollywood-ca-unit-206/yr6d67t/,906,906 Sq Ft,CA,,Condos,90069
,"$8,100 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$8,100'}]",West Hollywood,"649 Huntley Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/649-huntley-dr-west-hollywood-ca-unit-a/fm9drjr/,"1,900","1,900 Sq Ft",CA,,Condos,90069
,,"$4,950 ",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,950'}]",Los Angeles,"12975 Agustin Pl, Los Angeles, CA 90094",12 Month Lease,https://www.apartments.com/12975-agustin-pl-los-angeles-ca-unit-306/268bwm9/,"1,860","1,860 Sq Ft",CA,,Condos,90094
,"$2,550 ",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]",Pasadena,"75 Harkness Ave, Pasadena, CA 91106",12 Month Lease,https://www.apartments.com/75-harkness-ave-pasadena-ca-unit-3/yzeg51v/,"1,110","1,110 Sq Ft",CA,,Condos,91106
